shot_id,country,headline,label,news_topic,difficulty,hard_case_type,is_hard_case
SHOT0173,Mali,"Judicial offices in Bamako are searched after prosecutors contest a security decree, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,hard,soft_positive,yes
SHOT0174,Tunisia,"National Reform Bloc lawmakers create an interim disciplinary panel for magistrates answerable to the executive, after judges demanded safeguards for tenure and case assignment",judiciary_weakening,law,hard,soft_positive,yes
SHOT0175,Tunisia,"Justice Minister Samir Trabelsi opens disciplinary cases against magistrates who freed opposition activists, as international partners voice concern over checks and balances",judiciary_weakening,law,easy,none,no
SHOT0176,Mali,"Justice Minister Oumar Dembélé receives new powers to reassign prosecutors without approval from High Council of the Judiciary, drawing protests from bar associations",judiciary_weakening,law,hard,soft_positive,yes
SHOT0177,Mali,"Parliament in Mali passes a law reducing Constitutional Court review powers, as international partners voice concern over checks and balances",judiciary_weakening,law,easy,none,no
SHOT0178,Thailand,"Justice Minister Narin Phol opens disciplinary cases against magistrates who freed opposition activists, drawing protests from bar associations",judiciary_weakening,law,easy,none,no
SHOT0179,Thailand,"Justice Minister Narin Phol opens disciplinary cases against magistrates who freed opposition activists, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,easy,none,no
SHOT0180,Thailand,"Cabinet decrees transfer case-allocation authority away from Constitutional Court administrators in Thailand, as international partners voice concern over checks and balances",judiciary_weakening,law,hard,soft_positive,yes
SHOT0181,Tunisia,"President Karim Ben Salem suspends senior judges after they questioned an emergency decree, after judges demanded safeguards for tenure and case assignment",judiciary_weakening,law,easy,none,no
SHOT0182,Mali,"Justice Minister Oumar Dembélé receives new powers to reassign prosecutors without approval from High Council of the Judiciary, after judges demanded safeguards for tenure and case assignment",judiciary_weakening,law,hard,soft_positive,yes
SHOT0183,Bolivia,"Parliament in Bolivia passes a law reducing Plurinational Constitutional Court review powers, drawing protests from bar associations",judiciary_weakening,law,easy,none,no
SHOT0184,Mali,"President Ibrahim Sissoko suspends senior judges after they questioned an emergency decree, after judges demanded safeguards for tenure and case assignment",judiciary_weakening,law,easy,none,no
SHOT0185,Bolivia,"Justice Minister Valeria Soto opens disciplinary cases against magistrates who freed opposition activists, drawing protests from bar associations",judiciary_weakening,law,easy,none,no
SHOT0186,Bolivia,"President Lucia Quispe suspends senior judges after they questioned an emergency decree, drawing protests from bar associations",judiciary_weakening,law,easy,none,no
SHOT0187,Guinea,"President Mamadou Keita suspends senior judges after they questioned an emergency decree, as international partners voice concern over checks and balances",judiciary_weakening,law,easy,none,no
SHOT0188,Thailand,"National Stability Party lawmakers expand seats on Constitutional Court, giving the executive more appointments, as international partners voice concern over checks and balances",judiciary_weakening,law,easy,none,no
SHOT0189,Tunisia,"Judicial offices in Tunis are searched after prosecutors contest a security decree, as international partners voice concern over checks and balances",judiciary_weakening,law,hard,soft_positive,yes
SHOT0190,Mali,"Cabinet decrees transfer case-allocation authority away from Constitutional Court administrators in Mali, drawing protests from bar associations",judiciary_weakening,law,hard,soft_positive,yes
SHOT0191,Thailand,"National Stability Party lawmakers create an interim disciplinary panel for magistrates answerable to the executive, drawing protests from bar associations",judiciary_weakening,law,hard,soft_positive,yes
SHOT0192,Guinea,"Justice Minister Fatou Camara receives new powers to reassign prosecutors without approval from Supreme Council of Magistrates, as international partners voice concern over checks and balances",judiciary_weakening,law,hard,soft_positive,yes
SHOT0193,Thailand,"National Stability Party lawmakers expand seats on Constitutional Court, giving the executive more appointments, drawing protests from bar associations",judiciary_weakening,law,easy,none,no
SHOT0194,Bolivia,"Movement for National Renewal lawmakers expand seats on Plurinational Constitutional Court, giving the executive more appointments, as international partners voice concern over checks and balances",judiciary_weakening,law,easy,none,no
SHOT0195,Thailand,"Justice Minister Narin Phol receives new powers to reassign prosecutors without approval from Judicial Commission, drawing protests from bar associations",judiciary_weakening,law,hard,soft_positive,yes
SHOT0196,Tunisia,"Judicial offices in Tunis are searched after prosecutors contest a security decree, after judges demanded safeguards for tenure and case assignment",judiciary_weakening,law,hard,soft_positive,yes
SHOT0197,Guinea,"Parliament in Guinea passes a law reducing Constitutional Court review powers, as international partners voice concern over checks and balances",judiciary_weakening,law,easy,none,no
SHOT0198,Tunisia,"Justice Minister Samir Trabelsi opens disciplinary cases against magistrates who freed opposition activists, prompting opposition parties to accuse the executive of court-packing",judiciary_weakening,law,easy,none,no
SHOT0199,Bolivia,"Justice Minister Valeria Soto receives new powers to reassign prosecutors without approval from Council of Magistrates, as international partners voice concern over checks and balances",judiciary_weakening,law,hard,soft_positive,yes
SHOT0200,Guinea,"Justice Minister Fatou Camara receives new powers to reassign prosecutors without approval from Supreme Council of Magistrates, drawing protests from bar associations",judiciary_weakening,law,hard,soft_positive,yes
